date;knn_class_literal;knn_result;knn_score;title;url
01/01/2019;feminism;4;1.03;Expulsado de la diócesis de Astorga un sacerdote acusado de pederastia;https://elpais.com/sociedad/2019/01/01/actualidad/1546371791_699230.html
01/02/2019;poor;6;0.80;La campaña de rebajas de invierno generará casi 1.000 empleos en La Rioja;https://www.eldiario.es/la-rioja/la-campana-de-rebajas-de-invierno-generara-casi-1-000-empleos-en-la-rioja_1_11126816.html
01/02/2019; ;-1;5.44;Los riojanos, entre los que más gastan en la Lotería de El Niño;https://www.eldiario.es/la-rioja/los-riojanos-entre-los-que-mas-gastan-en-la-loteria-de-el-nino_1_11126831.html
01/03/2019;feminism;4;0.66;Detenido un joven de 16 años por violar a una menor de 14 en Nochevieja;https://elpais.com/sociedad/2019/01/03/actualidad/1546526472_489487.html
01/06/2019; ;-1;2.29;La Rioja, entre las comunidades con más ocupación rural en 2018;https://www.eldiario.es/la-rioja/la-rioja-entre-las-comunidades-con-mas-ocupacion-rural-en-2018_1_11127007.html
01/11/2019;feminism;4;1.22;Un anciano de 94 años mata de un bastonazo a otro de 91 en Soria;https://elpais.com/politica/2019/01/11/actualidad/1547205934_637553.html
01/11/2019; ;-1;1.38;Ceausescu en Valladolid;https://elpais.com/elpais/2019/01/11/opinion/1547224208_659685.html
01/11/2019; ;-1;1.92;Un juez impide que se sitúe la escultura de un demonio junto al acueducto de Segovia;https://elpais.com/cultura/2019/01/11/actualidad/1547217085_179499.html
01/12/2019; ;-1;1.62;El PP de Castilla y León defiende los toros como la fiesta de la libertad;https://www.eldiario.es/politica/pp-castilla-leon-defiende-libertad_1_1752622.html
01/13/2019;politics;3;0.88;Sánchez pone de ejemplo el pacto en Suecia contra los ultras y pide al PP y Cs el apoyo a sus Presupuestos;https://elpais.com/politica/2019/01/13/actualidad/1547380520_754176.html
01/13/2019;politics;3;1.05;Sánchez posa d’exemple el pacte a Suècia contra els ultres i demana al PP i Cs el suport als Pressupostos;https://elpais.com/cat/2019/01/13/espana/1547380520_754176.html
01/13/2019; ;-1;6.20;La policía halla en Madrid a un niño de 11 años que se fugó de su casa en Valladolid la madrugada del sábado;https://elpais.com/sociedad/2019/01/13/actualidad/1547382720_458237.html
01/14/2019; ;-1;1.46;El pasteleo de los viejos partidos con las cajas de ahorro nos ha costado a los riojanos 520 millones de euros;https://www.eldiario.es/la-rioja/el-pasteleo-de-los-viejos-partidos-con-las-cajas-de-ahorro-nos-ha-costado-a-los-riojanos-520-millones-de-euros_1_11127387.html
01/15/2019;feminism;4;0.74;Una mujer de 95 años muere asesinada por su marido, de la misma edad, en una residencia en León;https://elpais.com/sociedad/2019/01/15/actualidad/1547563733_752225.html
01/16/2019; ;-1;1.59;Así es la sanidad de Castilla y León que elogia Moreno Bonilla: falta de médicos, privatizaciones o viajes interminables para una diálisis;https://www.eldiario.es/andalucia/sanidad-castilla-moreno-bonilla-andalucia_1_1744045.html
01/16/2019; ;-1;3.03;Se venden 70 casas en La Rioja con una hipoteca media diaria de 5 euros;https://www.eldiario.es/la-rioja/se-venden-70-casas-en-la-rioja-con-una-hipoteca-media-diaria-de-5-euros_1_11127483.html
01/17/2019; ;-1;1.12;Victoria popular: la gasolinera de Cameros se mantiene;https://www.eldiario.es/la-rioja/victoria-popular-la-gasolinera-de-cameros-se-mantiene_1_11127558.html
01/17/2019; ;-1;1.13;San Bartolome (Ávila) revive las 'luminarias', inmersa en el humo purificador;https://elpais.com/elpais/2019/01/17/album/1547732053_940780.html
01/20/2019; ;-1;1.98;Condenado el Consejo Consultivo de Castilla y León por despedir a un chófer con una incapacidad para conducir;https://www.eldiario.es/politica/condenado-consejo-consultivo-castilla-leon_1_1741928.html
01/21/2019;feminism;4;0.60;"El Consejo de Colegios de Médicos de Castilla y León vincula la feminización de la profesión con ""una grave problemática""";https://www.eldiario.es/blog/micromachismos/consejo-colegios-medicos-castilla-leon_132_1737310.html
01/22/2019;feminism;4;0.72;El Gobierno confirma la muerte de la anciana en una residencia de León como violencia machista;https://elpais.com/sociedad/2019/01/22/actualidad/1548184795_554598.html
01/22/2019; ;-1;2.76;Entierros sin ataúd para seguir la tradición musulmana;https://elpais.com/sociedad/2019/01/22/actualidad/1548159141_836959.html
